,season,episode,Rating,Name,Date,Text,Useful,clean_text,clean_text_tokens
0,1,1,7.0,ComedyFan2010,27 December 2018,The pilot episode of the great show The Office. This isn't the best of the episodes but it does a good job introducing us to some of the main characters. Especially to Michael Scott who is a very special characters. Who he is is already shown in this episode when he makes bad jokes and doesn't even see himself that he is going too far. Now it will get even better.,4/7,pilot episode great show office good_episode good job introduce main character especially michael_scott special character already show episode make bad joke even see far get even well,"['pilot', 'episode', 'great', 'show', 'office', 'good_episode', 'good', 'job', 'introduce', 'main', 'character', 'especially', 'michael_scott', 'special', 'character', 'already', 'show', 'episode', 'make', 'bad', 'joke', 'even', 'see', 'far', 'get', 'even', 'well']"
1,1,1,5.0,studioAT,17 October 2021,"The American version of the UK show kicks off here.Like all Pilots this is very much a show finding its feet, but it does show signs of promise.Enjoyable enough stuff.",2/6,american version show kick like pilot much show find foot show sign promise enjoyable enough stuff,"['american', 'version', 'show', 'kick', 'like', 'pilot', 'much', 'show', 'find', 'foot', 'show', 'sign', 'promise', 'enjoyable', 'enough', 'stuff']"
2,1,1,8.0,Edvis-1997,24 October 2021,"Wathcing it for the first time after 16 years of release and it still makes me laugh, that's what I call iconic TV Show, I'm hooked up after first episode.",1/3,wathce first time year release still make laugh call iconic show hook first episode,"['wathce', 'first', 'time', 'year', 'release', 'still', 'make', 'laugh', 'call', 'iconic', 'show', 'hook', 'first', 'episode']"
3,1,1,9.0,MaxBorg89,16 January 2009,"When it was first announced that NBC was going to adapt BBC hit The Office for American audiences, fans and critics feared the worst since, Showtime's Queer as Folk notwithstanding, US remakes of English shows have never been a smart move (example: Fox's fun but flimsy take on Doctor Who in 1996). Even some of the US version's cast-members (John Krasinski most famously) were uncertain regarding the program's critical and commercial success. As it turned out, those fears were unnecessary, for two good reasons: first of all, Simpsons and King of the Hill writer Greg Daniels took on the assignment of making The Office the next great American sitcom; and secondly, not only did Stephen Merchant and Ricky Gervais give the project their blessing, they also agreed to stay involved as executive producers and even co-wrote the pilot episode with Daniels.Just like in the original, everything is told as if it were part of a documentary, with an unspecified camera crew following the everyday events at the Scranton, Pennsylvania branch of paper company Dunder-Mifflin. The regional manager is Michael Scott (Steve Carell), a child in a grown-up's body who sees himself as the ultimate boss and entertainer, while everyone else thinks he's a huge idiot. It is mainly Michael who delivers the show's trademark straight-to-camera remarks, although a few other people do pop up too occasionally. These include Michael's assistant Dwight Schrute (Rainn Wilson), an ambitious, obnoxious career-devotee who insists on doing everything by the book, and his nemesis, sales manager Jim Halpert (Krasinski), who repeatedly teases Dwight with some help from the office's receptionist, Pam Beesly (Jenna Fischer).Plot-wise, three major things occur: Michael greets new employee Ryan Howard (B.J. Novak, who also serves as writer and executive producer), for whom he immediately develops a vaguely homo-erotic fondness, Dwight has to deal with Jim putting his stapler in Jell-O, and Jan Levinson Gould from Corporate reveals the branch might have to face downsizing. How does Michael react to the news? He promises nothing will happen and takes advantage of the situation to pull a few ""harmless"" pranks, with disastrous consequences.The plot, as any true fan must have noticed, is lifted verbatim from the BBC premiere episode, complete with ""Yankified"" jokes (Camilla Parker Bowles is replaced by Hillary Rodham Clinton). A lot of critics saw this as a blatant sign of weakness, calling the US version a mere knock-off of the far superior British prototype. In reality, Gervais and Merchant (who wrote both versions of the episode) did this on purpose, to see if the show's less broad sense of humor could translate well to American audiences. To everyone's delight, it translates perfectly, albeit with a few adjustments: the mood is a tad lighter than in the original (as proved by the more cheerful theme music), the characters are more likable (even Dwight, but that's all thanks to the superb Wilson), and the boss is a bit less of a pain in the ass. That last thing might also have to do with Carell's wise decision to avoid watching Gervais' celebrated performance for inspiration: he has his own style, and it has made him justifiably famous ever since (he was relatively unknown before the series went on the air).When it comes to American television, gambles usually pay off: a show about nothing? Best sitcom ever (Seinfeld). A real-time thriller? Compulsive small-screen viewing (24). A re-imagining of one of Britain's most cherished products? The funniest show of the 21st century's first decade, alongside the equally clever and hilarious 30 Rock.",37/42,first announce nbc adapt bbc hit office american audience fan critic fear bad since showtime queer folk notwithstanding remake english show never smart move example fox fun flimsy take doctor 0000 even version cast member john_krasinski famously uncertain regard program critical commercial success turn fear unnecessary two good reason first simpsons king hill writer greg_daniels take assignment make office next great american sitcom secondly stephen_merchant ricky_gervais give project blessing also agree stay involved executive producer even write pilot episode daniels like original everything tell part documentary unspecified camera crew follow everyday event scranton pennsylvania branch paper company dunder_mifflin regional_manager michael_scott steve_carell child grown body see ultimate boss entertainer everyone else think huge idiot mainly michael deliver show trademark straight camera remark although people pop occasionally include michael assistant dwight schrute rainn_wilson ambitious obnoxious career devotee insist everything book nemesis sale manager jim halpert krasinski repeatedly tease dwight help office receptionist pam beesly jenna_fischer).plot wise three major thing occur michael greet new employee ryan howard b.j. novak also serve writer executive producer immediately develop vaguely homo erotic fondness dwight deal jim put stapler jell jan levinson_gould corporate reveal branch may face downsize michael react news promise nothing happen take advantage situation pull harmless prank disastrous consequence plot true fan must notice lift verbatim bbc premiere episode complete yankified joke camilla parker bowles replace hillary rodham clinton lot critic see blatant sign weakness call version mere knock far superior british prototype reality gervais merchant write version episode purpose see show less broad sense humor could translate well american audience everyone delight translate perfectly albeit adjustment mood tad light original prove cheerful theme music character likable even dwight thank superb wilson boss bit less pain ass last thing may also carell wise decision avoid watch gervais celebrated performance inspiration style make justifiably famous ever since relatively unknown series air).when come american television gamble usually pay show nothing good sitcom ever seinfeld real time thriller compulsive small screen viewing imagining one britain cherish product funniest show 00st century first decade alongside equally clever hilarious rock,"['first', 'announce', 'nbc', 'adapt', 'bbc', 'hit', 'office', 'american', 'audience', 'fan', 'critic', 'fear', 'bad', 'since', 'showtime', 'queer', 'folk', 'notwithstanding', 'remake', 'english', 'show', 'never', 'smart', 'move', 'example', 'fox', 'fun', 'flimsy', 'take', 'doctor', '0000', 'even', 'version', 'cast', 'member', 'john_krasinski', 'famously', 'uncertain', 'regard', 'program', 'critical', 'commercial', 'success', 'turn', 'fear', 'unnecessary', 'two', 'good', 'reason', 'first', 'simpsons', 'king', 'hill', 'writer', 'greg_daniels', 'take', 'assignment', 'make', 'office', 'next', 'great', 'american', 'sitcom', 'secondly', 'stephen_merchant', 'ricky_gervais', 'give', 'project', 'blessing', 'also', 'agree', 'stay', 'involved', 'executive', 'producer', 'even', 'write', 'pilot', 'episode', 'daniels', 'like', 'original', 'everything', 'tell', 'part', 'documentary', 'unspecified', 'camera', 'crew', 'follow', 'everyday', 'event', 'scranton', 'pennsylvania', 'branch', 'paper', 'company', 'dunder_mifflin', 'regional_manager', 'michael_scott', 'steve_carell', 'child', 'grown', 'body', 'see', 'ultimate', 'boss', 'entertainer', 'everyone', 'else', 'think', 'huge', 'idiot', 'mainly', 'michael', 'deliver', 'show', 'trademark', 'straight', 'camera', 'remark', 'although', 'people', 'pop', 'occasionally', 'include', 'michael', 'assistant', 'dwight', 'schrute', 'rainn_wilson', 'ambitious', 'obnoxious', 'career', 'devotee', 'insist', 'everything', 'book', 'nemesis', 'sale', 'manager', 'jim', 'halpert', 'krasinski', 'repeatedly', 'tease', 'dwight', 'help', 'office', 'receptionist', 'pam', 'beesly', 'jenna_fischer).plot', 'wise', 'three', 'major', 'thing', 'occur', 'michael', 'greet', 'new', 'employee', 'ryan', 'howard', 'b.j', '.', 'novak', 'also', 'serve', 'writer', 'executive', 'producer', 'immediately', 'develop', 'vaguely', 'homo', 'erotic', 'fondness', 'dwight', 'deal', 'jim', 'put', 'stapler', 'jell', 'jan', 'levinson_gould', 'corporate', 'reveal', 'branch', 'may', 'face', 'downsize', 'michael', 'react', 'news', 'promise', 'nothing', 'happen', 'take', 'advantage', 'situation', 'pull', 'harmless', 'prank', 'disastrous', 'consequence', 'plot', 'true', 'fan', 'must', 'notice', 'lift', 'verbatim', 'bbc', 'premiere', 'episode', 'complete', 'yankified', 'joke', 'camilla', 'parker', 'bowles', 'replace', 'hillary', 'rodham', 'clinton', 'lot', 'critic', 'see', 'blatant', 'sign', 'weakness', 'call', 'version', 'mere', 'knock', 'far', 'superior', 'british', 'prototype', 'reality', 'gervais', 'merchant', 'write', 'version', 'episode', 'purpose', 'see', 'show', 'less', 'broad', 'sense', 'humor', 'could', 'translate', 'well', 'american', 'audience', 'everyone', 'delight', 'translate', 'perfectly', 'albeit', 'adjustment', 'mood', 'tad', 'light', 'original', 'prove', 'cheerful', 'theme', 'music', 'character', 'likable', 'even', 'dwight', 'thank', 'superb', 'wilson', 'boss', 'bit', 'less', 'pain', 'ass', 'last', 'thing', 'may', 'also', 'carell', 'wise', 'decision', 'avoid', 'watch', 'gervais', 'celebrated', 'performance', 'inspiration', 'style', 'make', 'justifiably', 'famous', 'ever', 'since', 'relatively', 'unknown', 'series', 'air).when', 'come', 'american', 'television', 'gamble', 'usually', 'pay', 'show', 'nothing', 'good', 'sitcom', 'ever', 'seinfeld', 'real', 'time', 'thriller', 'compulsive', 'small', 'screen', 'viewing', 'imagining', 'one', 'britain', 'cherish', 'product', 'funniest', 'show', '00st', 'century', 'first', 'decade', 'alongside', 'equally', 'clever', 'hilarious', 'rock']"
4,1,1,9.0,MrFilmAndTelevisionShow,17 February 2021,"I've only watched the first episode of each series so far, and as a Brit I thought I'd prefer the British version but no, this episode, which has the same plot as Episode 1 of the British version with some jokes tweaked and lines changed but it is broadly similar. I gave the British one a 7 and this a 9 because I felt everything about it was just on a higher level.",3/6,watch first episode series far brit think prefer british version episode plot episode british version joke tweak line change broadly similar give british one feel everything high level,"['watch', 'first', 'episode', 'series', 'far', 'brit', 'think', 'prefer', 'british', 'version', 'episode', 'plot', 'episode', 'british', 'version', 'joke', 'tweak', 'line', 'change', 'broadly', 'similar', 'give', 'british', 'one', 'feel', 'everything', 'high', 'level']"
5,1,1,8.0,zhyarTheChosen,22 February 2020,I like it but not to the point I am going to give it 9 of 10,0/8,like point give,"['like', 'point', 'give']"
6,1,1,10.0,mkayseryan,23 June 2021,I DONT GET WHY PEOPLE DONT LIKE THE PILOT ITS SOO FUNNY.,3/7,dont get people dont like pilot soo funny,"['do', 'nt', 'get', 'people', 'do', 'nt', 'like', 'pilot', 'soo', 'funny']"
7,1,1,6.0,GunnersMate,30 June 2018,"The pilot outing of the American version of The Office was odd throughout, uncomfortable at times, and (when it worked) very very funny. Even with the uneven and unusual cast of characters, there were more than a few moments when the viewer can't help but recognize people they have worked with or situations that happen in offices every day - and the uncomfortably funny situation seems to be the point of The Office. Steve Carrell is the obvious comedic star, but the supporting cast looks to be a tremendous fount of potential entertainment. Was it too odd or uncomfortable to keep someone from watching? Nope - in fact, I can't wait to see what they do next.",3/6,pilot outing american version office odd throughout uncomfortable time work funny even uneven unusual cast character moment viewer help recognize people work situation happen office every day uncomfortably funny situation seem point office steve_carrell obvious comedic star supporting cast look tremendous fount potential entertainment odd uncomfortable keep someone watch nope fact wait see next,"['pilot', 'outing', 'american', 'version', 'office', 'odd', 'throughout', 'uncomfortable', 'time', 'work', 'funny', 'even', 'uneven', 'unusual', 'cast', 'character', 'moment', 'viewer', 'help', 'recognize', 'people', 'work', 'situation', 'happen', 'office', 'every', 'day', 'uncomfortably', 'funny', 'situation', 'seem', 'point', 'office', 'steve_carrell', 'obvious', 'comedic', 'star', 'supporting', 'cast', 'look', 'tremendous', 'fount', 'potential', 'entertainment', 'odd', 'uncomfortable', 'keep', 'someone', 'watch', 'nope', 'fact', 'wait', 'see', 'next']"
8,1,1,8.0,bmiller59,8 January 2022,"We've never seen an episode of The Office....never. Loved it. Don't know where to start reviewing the Pilot, but getting to know some of the characters and their hi-jinx is consistent with what I've heard. Don't know why I've never watched it, but looks like I have a lot to catch up on.",1/1,never see episode office .... never love know start review pilot get know character jinx consistent hear know never watch look like lot catch,"['never', 'see', 'episode', 'office', '....', 'never', 'love', 'know', 'start', 'review', 'pilot', 'get', 'know', 'character', 'jinx', 'consistent', 'hear', 'know', 'never', 'watch', 'look', 'like', 'lot', 'catch']"
9,1,1,9.0,theteamavengers,9 April 2021,I started today my The Office watch for the second time. This was a good pilot and introduction. 8.5/10.,1/4,start today office watch second time good pilot introduction 0.0/00,"['start', 'today', 'office', 'watch', 'second', 'time', 'good', 'pilot', 'introduction', '0.0/00']"
