,season,episode,Rating,Name,Date,Text,Useful
0,1,2,9,ComedyFan2010,27 December 2018,"Hilarious episode. After Michael tells some offensive jokes they company has to go through diversity training. But Michael prefers to do it his own way.This episode has plenty of great jokes. Michael trying to run Mr. Brown's diversity training had many great moments. It became even better when Michael makes his own diversity training and makes them insult each other with stereotypes of the race they got assigned. It is also funny how he says that ""it is too soon for Arabs"".",7/9
1,1,2,5,studioAT,17 October 2021,This episode just about manages to combine the toe curling comedy that made the UK version so popular with some nice heartfelt moments in this second outing of the show.I enjoyed it.,1/7
2,1,2,8,Edvis-1997,24 October 2021,"Well, that was so relatable even in Nowadays, lmao. Great episode, so far 2 out of 2 worth watching episode, didn't disappoint me yet and I hope it won't disappoint me in the future.",3/4
3,1,2,9,MaxBorg89,11 February 2009,"After following the British template almost slavishly in the pilot episode, the American version of The Office goes its own way already in the second show, the painfully hilarious Diversity Day (although, truth be told, it does occasionally remind of the first episode of the original's second season).Shockingly, the fun derives from Michael trying to fix something: after one of his employees told a subtly racist joke, a Diversity Day is organized. What Michael doesn't know is that the spokesperson in charge of the event, Mr. Brown (Larry Wilmore), is actually there because of numerous complaints about his behavior, not someone else's. That the boss thinks Mr . Brown is a made-up name - due to the person's skin color - isn't very helpful, either. Soon everyone in the office is involved in a series of increasingly ridiculous tolerance games that undermine everything Diversity Day is meant to stand for.From Michael's lame attempt at (mis)quoting Abraham Lincoln to Dwight's twisted mentality (when given a clue to find out what race he is representing as part of a test, he says: ""Aw man, what am I, a woman?""), this episode is a good example of the show's ability to pull off the same kind of awkward humor as the original version whilst adapting it to the American way of life. It's considerably lighter (the British one's gag about over-sized genitalia would never have made it past the idea stage), but that doesn't mean it's any less entertaining.",37/41
4,1,2,7,zhyarTheChosen,23 February 2020,People actually love this one over the first episode for nah,1/21
5,1,2,8,GunnersMate,30 June 2018,"Watching Diversity Day thirteen years after its debut is an interesting peek into office race relations and how much things have (and have not changed) in the interim. When the boss quotes (verbatim and with what he considers to be the perfect ""accent"") a racially-charged comedy routine, a Diversity Trainer is sent to the office to help deal with any fallout. Of course, the result is a rolling snowball of worse and more racially insulting than ever. Every nuance of racial political correctness is pounded into comedic submission. It is uncomfortable, it is funny, and if the episode were released as ""new"" in today's politically intolerant environment it would be lambasted as intolerant. But it is painfully true, and that's what makes it so very funny.",33/41
6,1,2,8,JosephPezzuto,2 June 2015,"So says the ""World's Best Boss"" borrowing a quote from Abraham Lincoln. An adaptation of the BBC series of the same name created in 2001 by Ricky Gervais and Stephen Merchant, The Office was adapted for American audiences by Greg Daniels, veteran writer for SNL, King of the Hill and The Simpsons. Both sitcom and mockumentary, first airing on NBC on March 24, 2005 from May 16, 2013, the series depicts the everyday life of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company. To simulate the look of an actual documentary, the show is filmed in a single-camera setup without a studio or a laugh track; our main characters sporadically posing as talking heads are either explaining or venting their emotions depending on however they happen to be feeling at that certain time to an unseen camera operator during a particular moment in the episode, often evoking hilarity. But when mixing in race? ""Diversity Day""! The second episode of the first season, the second episode overall, was written by Ken Kwapis (who also directed) and B. J. Novak who, for his work on this episode, was nominated for a Writers Guild of America Award for Best Screenplay – Episodic Comedy. When the egotistical but shallow central character Michael Scott (Steve Carell, loosely based on David Brent from the original British version) makes a controversial imitation of a Chris Rock routine, he forces the staff to undergo a racial seminar. A sensitivity trainer arrives (guest starring Office consulting producer and writer Larry Wilmore as Mr. Brown) to give the staff in the office a practical presentation about tolerance and diversity. Michael, however insists on imparting his own knowledge, aggravating both the consultant and the entire office staff in creating his own diversity seminar instead. Michael is seen later on signing the release for Mr. Brown passed around, with the name ""Daffy Duck"". Mr. Brown does not realize that the signature is bogus. Michael quickly fashions his more ambitious and improvisational program under the name ""Diversity Tomorrow"" (because today is almost over""). First asking the employees to detail their particular nationalities, he helpfully offers that he is a ""virtual United Nations"" of English, Scottish, Irish, German and ""2/15 Native American"" origins, thus assigning each office member an index card with a different race written on it. They are to guess what race they are based on by the actions and phrases recited to them by their co-workers but are not allowed to read it, wearing and displaying it on their foreheads for only others to see. Compelling the employees to interact and ""mix up the melting pot"" causes tempers to slowly simmer. Many uncomfortable but hilarious exchanges of various stereotypes occur between them, as Michael reasons that they will learn how it is to ""be a minority"" while ironically bringing up offensive stereotypes himself (Scott has no card for ""Arab"" or ""Muslim"", because, he explains, it would be ""too explosive""). This continues on until the staff finally snap under toleration for such petty inaneness. Meanwhile, Dunder Mifflin representative and love interest of the shy Pam Beesley (Jenna Fischer) Jim ""Big Tuna"" or just ""Tuna"" Harper (John Krasinski) struggles to keep hold of a lucrative contract extension that makes up about twenty-five percent of his annual commission. Amidst the entropy of the day, Dwight Kurt Schrute III (Rainn Wilson, based on Gareth Keenan from the original UK version), the successful paper salesman lacking in social skills, common sense and of whom is pretty much a fascist nerd, closes the sale for himself. Despite his initial personal dislike of Jim, the two are a very effective sales team nonetheless. Jim gets one of life's little victories when Pam falls asleep on his shoulder at the end of a meeting, as he concludes that is was ""not a bad day"". Premiering on NBC on April 5, 2005, it lost half of its viewing audience due to the previous episode, being the pilot, which had garnered over eleven million viewers to this episode's six. On the flipside, ""Diversity Day"", along with the other first season episodes of The Office helped NBC score its highest-rated Tuesday night slot since February 1, 2005. Entertainment Weekly gave the episode positive reviews, stating that: ""Think of the toss-off racism of the original, plopped into a PC-gone-wrong showcase that might be entitled The Accidental Bigot. As when the African-American diversity trainer introduces himself as Mr. Brown, and Scott assures him, 'I will not call you that.'"" Ricky Gervais stated: ""It is as good. I love the fact that, apart from the first one, the scripts are all original. You've gone back to the blueprint of what the characters are and you've started from there, as opposed to copying anything."" Rolling Stone magazine named the scene wherein Michael shows the office his diversity video the third greatest moment from The Office. However, Erik Adams of The A.V. Club awarded the episode a ""B+"", noting that the episode ""would go on to be one of the series' defining episodes, an installment that put a more hopeful spin on the original Office‍'s views on accepting the disparity between our dreams and our realities."" Two scenes that were cut involved Michael Scott responding to Mr. Brown's ""HERO"" acronym by creating one that sounded good until everyone noticed the words created the acronym of ""INCEST"", while another had Jim replacing Dwight's ""Asian"" headband with ""Dwight"" and then having the other co-workers complain to his clueless character about how annoying his behavior was. The pilot after the pilot, ""Diversity Day"" defined NBC'S The Office for cast and crew alike. Kwapis reflects: ""Well, it certainly took a while to find its audience. But creatively the show hit a home run in episode two. I mean, that episode really is a standout. Two hundred episodes later, that's really a standout.""",6/10
7,1,2,8,jonniedylanoliver,18 May 2020,"The first great episode of the show. It has good dialogue from our main characters and most of Season 1's minor characters. It builds on our perspective of Michael, and starts the shows main arc: the love of Jim and Pam. But compared to the funniest episode of the season for 2, 3 and 4, it doesn't stand a chance.",6/7
8,1,2,9,hreed-89565,28 November 2019,"Diversity Day is one of the best episodes of The Office and is my favorite episode of Season 1. The writers quickly found the right tone of the show and began writing brilliant episodes starting with this one. Michael seems much more like-able here, and the other characters all got their moment to shine when Michael held his own diversity seminar. Diversity Day is the first great episode of a great show!",12/15
9,1,2,1,geomisc,27 November 2021,"""Diversity Day"" is a pretty self-explanatory title. Those viewers who are easily offended will be relieved that the Comedy Channel skipped this episode today (11/27/21). Others can watch it on NBC's peacock channel. All in all, another example of where we are in the USA. We'll all see if this is comedy du jour or has legs.Personally, I am not a fan of suppressing creative expression. Is there really anyone out there who'll lose sleep after viewing this episode? Will anyone be scarred? My guess is some ""expert"" will argue just that. Comedy Central clearly has drawn a line in the sand. So, there's that.",1/8
